ika;ruoka
34;22.5
35;21.765973111395645
36;21.110618864703376
37;20.533937259923178
38;20.035928297055055
39;19.61659197609902
40;19.275928297055057
41;19.013937259923175
42;18.83061886470337
43;18.725973111395646
44;18.7
45;18.75269953051643
46;18.884071702944944
47;19.09411651728553
48;19.3828339735382
49;19.750224071702945
50;20.16959624413146
51;20.614259923175418
52;21.08421510883483
53;21.57946180110969
54;22.1
55;22.64582970550577
56;23.216950917626978
57;23.813363636363636
58;24.43506786171575
59;25.082063593683316
60;25.682494238156213
61;26.16450320102433
62;26.52809048228767
63;26.77325608194623
64;26.900000000000002
65;26.908322236449003
66;26.798222791293224
67;26.569701664532655
68;26.22275885616731
69;25.757394366197182
70;25.21143832693129
71;24.62272087067862
72;23.99124199743918
73;23.317001707212974
74;22.6
75;21.840236875800258
76;21.037712334613744
77;20.19242637644046
78;19.30437900128041
79;18.37357020913359
80;17.4
